"V1","V2","V3","V4","V5","V6","V7","V8"
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0.0646463810949944,0,0,0,0,0,0,0
0,0.0631342105497025,0,0,-0.034236113389225,0,0,0
0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0.0831854172900689,0.0501691980592297,0,0,0,-0.0272708988185144,0,0
0,0,0,0,0,0,1,0
0,-0.0583090269172231,0.0438565089221447,0,0.0774465526877456,0,0,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,-0.328576866215913,0,-0.094743089287342,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,-0.11790054249916,0,0,0.0224611822419642,0,0,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,-0.152850264214833,-0.152082558709452,0,0,0
0,0,0,0,0,0,1,0
0,-0.0354627687103219,0.0830746774948902,0,0.0430826948191243,-0.0726433743631752,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0.0686898071751377,0,0,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0.00437671068420831,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0.1037006028019,0,0
0,0,0,-0.213257531321928,-0.020468574720541,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0.222769324090721,0.0381456035452159,0.240523286165891,0,0,0,0,0.0981671139853101
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0.0972003636135462,0,0,0
0,0,0,0,0,0,1,0
0,0,0.358874301739224,0,0,0,0,0.22193969795358
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,-0.0638590458601682,0,0,0
0,0,0,0,0,0,-1,0
0,0.0740533427039151,0.0823055193922455,0,0,0.0591486568045396,0,-0.205798180708025
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,1,0,0,0,0
0,-0.34136230029031,0.198699984645292,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,-0.0509879795695505,0,0,0.181221510958789,0,0,0
0,-0.246052730646862,0,0,0,0,0,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0.127155195942481,0.18567137497708,0.0465183890654408,0,0,0.0628844562360099,0,0
0,0,0,0,0,0,-1,0
0,0.175058762734138,0,0,0,-0.0575563887597444,0,0
-0.0511576254176179,0,-0.0732701701210368,0,0,0,0.155924796627918,0
-0.0264952124475453,-0.344105150326263,0.23635017084909,0,0,0.0136721965072004,0.0343644350312614,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
-0.0418391205938483,0,0,-0.0132046928664127,-0.186560069765271,0,0,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0.0295176485376228,0,0.213991866544177,-0.182215618026947,0,0
0,0,0,0,0,0,-1,0
0,0,0,-0.000297801121800018,0,-0.208671490275577,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0.408611605563343,0,0.0558294680547653,0,0,0,-0.0834994564465115,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0
-0.13204003541784,0,-0.0404685687855982,0,0.0922841642358482,0,0.346321755117046,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0.128775354860165,0.0769146517820765,0.125842846475004,0,0,0,0,-0.0677794811423533
0,0,0,0,0,0,-1,0
0,-0.00669784359403527,0,0,0.0798797874344765,-0.286041440528678,0,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
-0.250406858750446,-0.0687180264489493,0,0,0,0,0,0
0,0.0129732654166527,0,0,-0.265588601576387,0,0,0
0,0,0,0,0,0,0,1
-0.0290446848288613,0,0,-0.226200938410828,-0.00248328689039834,0,0,0.0293861256415914
0,0,0,0,0,0,0,1
0,-0.0946580404490755,-0.0974483813905156,-0.0804186633076757,0,0.260168942986406,0,0
0,0,0,0,0,0,0,1
0,0.201001030530403,0,0,0,-0.093801994505348,0,0
0,0,0,0,0,-0.0408746663993523,0,-0.0631318397396175
0,0,0,0,0.0509236915413588,0,0,0
0,0,0,-0.0168251113190684,0,0,0,0.00521778079379937
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,0,0,0,-0.238902269556594,0.0551036178791596,0,0.0127390481765123
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,-0.0488841910184589,0,0,0.055686015221075,0,0,-0.30465396772608
0,0,0,0,0,0,0,-1
0,0,0,-0.0924164675156414,0,-0.0299029275905086,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,-1
